time,tmax,tmin
1880-06-07,18.42,6.698373984
1880-06-08,19.06142857,6.413821138
1880-06-09,20.8,7.324390244
1880-06-10,17.5,7.039837398
1880-06-11,17.6,7.856321839
1880-06-12,21.68888889,8.316091954
1880-06-13,16.03263708,10.22857143
1880-06-14,15.77023499,6.755284553
1880-06-15,15.34777778,5.633333333
1880-06-16,17.15,5.744444444
1880-06-17,16.63333333,14.5
1880-06-18,16.4,6.755284553
1880-06-19,14.79222222,6.755284553
1880-06-20,15.98015666,8.924242424
1880-06-21,15.23666667,8.712121212
1880-06-22,14.79222222,8.316091954
1880-06-23,13.90333333,6.755284553
1880-06-24,14.79222222,6.92601626
1880-06-25,15.34777778,7.324390244
1880-06-26,16.29503916,5.077777778
1880-06-27,15.34777778,5.633333333
1880-06-28,16.4,4.522222222
1880-06-29,19.38428571,6.641463415
1880-06-30,18.54,6.755284553
1880-07-01,18.42,6.755284553
1880-07-02,20.17777778,8.040229885
1880-07-03,15.87519582,3.3
1880-07-04,17.5,5.633333333
1880-07-05,16.4,4.522222222
1880-07-06,16.98333333,4.966666667
1880-07-07,18.2,3.966666667
1880-07-08,17.5,3.577777778
1880-07-09,17.6,5.744444444
1880-07-10,20.97777778,12.9
1880-07-11,16.19007833,11.64708333
1880-07-12,15.34777778,3.966666667
1880-07-13,16.575,4.077777778
1880-07-14,17.75,5.744444444
1880-07-15,17.4,7.096747967
1880-07-16,15.87519582,3.522222222
1880-07-17,17.25,6.413821138
1880-07-18,17.04166667,6.022222222
1880-07-19,18.9,5.077777778
1880-07-20,18.9,6.755284553
1880-07-21,19.465,9.33125
1880-07-22,15.98015666,6.641463415
1880-07-23,14.79222222,2.633333333
1880-07-24,15.77023499,7.324390244
1880-07-25,19.592,10.932
1880-07-26,20.13888889,11.54125
1880-07-27,16.51666667,7.55203252
1880-07-28,17.4,6.755284553
1880-07-29,18.54,6.470731707
1880-07-30,17.8,10.799
1880-07-31,17.6,11.78
1880-08-01,18.36,11.78
1880-08-02,18.94035714,10.9985
1880-08-03,19.465,9.8
1880-08-04,18.1,12.22
1880-08-05,17.6,6.755284553
1880-08-06,13.23666667,6.470731707
1880-08-07,10.23666667,5.855555556
1880-08-08,14.90333333,7.210569106
1880-08-09,15.87519582,7.324390244
1880-08-10,16.98333333,6.755284553
1880-08-11,19.465,6.869105691
1880-08-12,17.75,6.869105691
1880-08-13,20.1,12.8
1880-08-14,18.1,10.799
1880-08-15,18.3,6.982926829
1880-08-16,18.98071429,6.755284553
1880-08-17,17.15,8.224137931
1880-08-18,18.25,6.755284553
1880-08-19,20.21666667,6.982926829
1880-08-20,20.56666667,11.27666667
1880-08-21,16.4,10.22857143
1880-08-22,18.84,10.666
1880-08-23,16.19007833,10.9985
1880-08-24,18.3,12.22
1880-08-25,15.87519582,4.244444444
1880-08-26,17.15,8.040229885
1880-08-27,20.1,7.948275862
1880-08-28,19.22285714,11.065
1880-08-29,14.90333333,8.871212121
1880-08-30,18.42,11.78
1880-08-31,17.7,9.33125
1880-09-01,18.78,8.086206897
1880-09-02,19.06142857,9.471875
1880-09-03,16.63333333,9.885714286
1880-09-04,18.78,6.755284553
1880-09-05,19.592,10.666
1880-09-06,17.3,8.224137931
1880-09-07,20.1,6.982926829
1880-09-08,23.53333333,8.765151515
1880-09-09,21.33333333,9.136363636
1880-09-10,18.42,7.608943089
1880-09-11,17.95,8.712121212
1880-09-12,20.64444444,7.718390805
1880-09-13,22.31111111,10.05714286
1880-09-14,21.91111111,10.666
1880-09-15,19.846,11.94
1880-09-16,18.36,11.3825
1880-09-17,16.575,7.324390244
1880-09-18,18.66,8.040229885
1880-09-19,19.465,8.040229885
1880-09-20,21.51111111,8.408045977
1880-09-21,21.68888889,11.86
1880-09-22,20.17777778,9.03030303
1880-09-23,19.06142857,11.86
1880-09-24,17.8,7.856321839
1880-09-25,17.75,6.755284553
1880-09-26,19.02107143,6.982926829
1880-09-27,21.42222222,6.812195122
1880-09-28,24.4875,13.86363636
1880-09-29,30.62906404,14.4
1880-09-30,22.7,13.86363636
1880-10-01,20.25555556,9.33125
1880-10-02,16.80833333,6.641463415
1880-10-03,18.42,6.869105691
1880-10-04,18.3,6.869105691
1880-10-05,20.17777778,6.755284553
1880-10-06,21.46666667,8.712121212
1880-10-07,19.1825,8.316091954
1880-10-08,18.15,13
1880-10-09,19.14214286,10.05714286
1880-10-10,19.465,7.994252874
1880-10-11,21.02222222,9.659375
1880-10-12,22.31111111,12.22
1880-10-13,23.46666667,9.8
1880-10-14,22.625,9.8
1880-10-15,20.88888889,7.856321839
1880-10-16,20.17777778,13.05
1880-10-17,20.88888889,8.818181818
1880-10-18,20.76111111,8.5
1880-10-19,22.13333333,9.33125
1880-10-20,21.06666667,9.842857143
1880-10-21,20.64444444,8.316091954
1880-10-22,21.06666667,7.764367816
1880-10-23,22.13333333,7.324390244
1880-10-24,27.428,8.924242424
1880-10-25,22.04444444,13.38181818
1880-10-26,21.06666667,8.316091954
1880-10-27,25.8,7.994252874
1880-10-28,23.4,12.22
1880-10-29,20.56666667,11.78
1880-10-30,20.41111111,10.932
1880-10-31,22.22222222,9.971428571
1880-11-01,28.004,14.08181818
1880-11-02,25.8,15.11818182
1880-11-03,34.16711799,16.58571429
1880-11-04,28.388,13.51818182
1880-11-05,25.11818182,14.9
1880-11-06,21.95555556,11.3825
1880-11-07,22.7,15.00909091
1880-11-08,19.26321429,12.34
1880-11-09,19.9095,11.065
1880-11-10,21.02222222,10.22857143
1880-11-11,25.16363636,11.27666667
1880-11-12,23.8,11.86
1880-11-13,21.33333333,8.224137931
1880-11-14,21.51111111,9.565625
1880-11-15,23.4,12.34
1880-11-16,24.1125,11.3825
1880-11-17,23.8,12.34
1880-11-18,20.25555556,11.3825
1880-11-19,22.31111111,8.712121212
1880-11-20,27.22105263,9.03030303
1880-11-21,25.48181818,15.92
1880-11-22,21.28888889,10.5995
1880-11-23,23.66666667,11.3825
1880-11-24,26.82631579,19.04826923
1880-11-25,23.4,9.8
1880-11-26,23.9875,13.1
1880-11-27,23.8,13.86363636
1880-11-28,24.3,13.7
1880-11-29,25.8,13.1
1880-11-30,32.59651838,14.8
1880-12-01,29.16600985,14.02727273
1880-12-02,25.16363636,11.065
1880-12-03,22.55,10.14285714
1880-12-04,25.70909091,12.46
1880-12-05,30.76206897,14.02727273
1880-12-06,33.24642166,15.44545455
1880-12-07,31.78413926,15.78
1880-12-08,28.516,13
1880-12-09,35.05,15.92
1880-12-10,33.40889749,17.7547619
1880-12-11,23.13333333,14.6
1880-12-12,30.96157635,13.2
1880-12-13,35.43888889,20.76055556
1880-12-14,29.09950739,12.9
1880-12-15,22.7,9.971428571
1880-12-16,29.36551724,10.799
1880-12-17,34.16711799,14.08181818
1880-12-18,26.74736842,12.58
1880-12-19,30.09704433,15.39090909
1880-12-20,23.8625,12.58
1880-12-21,26.11578947,12.34
1880-12-22,25.48181818,14.4
1880-12-23,26.74736842,13.51818182
1880-12-24,32.7589942,14.9
1880-12-25,30.62906404,16.45714286
1880-12-26,26.58947368,
1880-12-27,31.62166344,
1880-12-28,38.21666667,15.92
1880-12-29,28.004,14.65
1880-12-30,23,13.51818182
1880-12-31,24.425,9.928571429
1881-01-01,23.9875,17.1
1881-01-02,23.66666667,11.3825
1881-01-03,33.5172147,15.82666667
1881-01-04,40.99444444,16.01333333
1881-01-05,35.05,15.92
1881-01-06,32.00077369,18.72695513
1881-01-07,28.836,17.7547619
1881-01-08,22.925,12.9
1881-01-09,27.06315789,13.97272727
1881-01-10,28.516,12.9
1881-01-11,24.7375,13.38181818
1881-01-12,24.55,11.3825
1881-01-13,24.425,11.3825
1881-01-14,21.33333333,12.34
1881-01-15,22.22222222,13.97272727
1881-01-16,21.15555556,13.38181818
1881-01-17,30.89507389,16.45714286
1881-01-18,23.46666667,18.40564103
1881-01-19,21.02222222,9.971428571
1881-01-20,22.7,11.7
1881-01-21,26.35263158,14.7
1881-01-22,33.89632495,17.7547619
1881-01-23,37.49444444,20.205
1881-01-24,31.89245648,17.1
1881-01-25,32.7589942,15.44545455
1881-01-26,22.9625,13.60909091
1881-01-27,23.53333333,13.86363636
1881-01-28,32.0549323,17.1
1881-01-29,35.05,20.01221154
1881-01-30,36.93888889,24.59388889
1881-01-31,39.82777778,22.92722222
1881-02-01,37.27222222,22.205
1881-02-02,29.83103448,14.9
1881-02-03,28.004,15.06363636
1881-02-04,31.78413926,17.62380952
1881-02-05,35.99444444,20.48277778
1881-02-06,37.10555556,16.10666667
1881-02-07,29.96403941,18.72695513
1881-02-08,28.004,15.44545455
1881-02-09,26.03684211,13.86363636
1881-02-10,27.06315789,15.11818182
1881-02-11,31.49359606,19.30532051
1881-02-12,35.55,20.705
1881-02-13,35.71666667,18.79121795
1881-02-14,40.88333333,20.87166667
1881-02-15,24.89090909,17.7547619
1881-02-16,24.89090909,13.29090909
1881-02-17,31.78413926,15.33636364
1881-02-18,35.05,17.1
1881-02-19,35.60555556,18.53416667
1881-02-20,27.364,19.04826923
1881-02-21,24.8,11.82
1881-02-22,26.74736842,12.8
1881-02-23,30.6955665,15.06363636
1881-02-24,32.65067698,16.01333333
1881-02-25,32.97562863,17.68928571
1881-02-26,38.05,20.76055556
1881-02-27,39.60555556,20.59388889
1881-02-28,36.32777778,19.56237179
1881-03-01,32.37988395,19.04826923
1881-03-02,32.97562863,15.73333333
1881-03-03,31.09458128,16.32857143
1881-03-04,31.36059113,18.40564103
1881-03-05,29.96403941,14.85
1881-03-06,28.516,15.44545455
1881-03-07,25.34545455,13.86363636
1881-03-08,27.364,14.85
1881-03-09,33.73384913,14.9
1881-03-10,35.43888889,18.40564103
1881-03-11,34.32959381,18.72695513
1881-03-12,34.11295938,17.55833333
1881-03-13,35.55,16.71428571
1881-03-14,36.10555556,16.15333333
1881-03-15,36.38333333,18.21285256
1881-03-16,35.88333333,19.30532051
1881-03-17,36.38333333,15.92
1881-03-18,35.66111111,15.92
1881-03-19,36.88333333,15.00909091
1881-03-20,39.27222222,14.3
1881-03-21,30.42955665,17.03571429
1881-03-22,24.3,15.68666667
1881-03-23,24.175,13.38181818
1881-03-24,28.58,13.38181818
1881-03-25,30.89507389,14.02727273
1881-03-26,33.67969052,14.19090909
1881-03-27,25.61818182,14.95454545
1881-03-28,26.43157895,17.95119048
1881-03-29,25.25454545,13.7
1881-03-30,20.76111111,10.5995
1881-03-31,22.7375,10.799
1881-04-01,27.556,13.38181818
1881-04-02,33.30058027,15.54666667
1881-04-03,29.96403941,14.45
1881-04-04,26.19473684,15.64
1881-04-05,22.5125,15.33636364
