,800,830,900,1000,1100,1200,1300,1400,1500,1600,1700,interval1,interval2,night,1800,100,700,1330,600,1530,1830,2200,1630,intervala,intervalb,intervalc,intervald,1130,1430,1730,1900,intervale,intervalf,1315,845,1015,1030,1045,1615,2030,2230,5pma,5pmb,noona,noonb,930,1515,1545,0,1230,1410,interval,0900_transcribed,1000_transcribed,1600_transcribed,interval1_transcribed,interval2_transcribed,0900_hospital,1500_hospital
1830-05-27,,,16.111,,,,,,19.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-05-28,,,15.694,,,,,,19.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-05-29,,,14.444,,,,,,19.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-05-30,,,16.111,,,,,,15.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-01,,,11.944,,,,,,13.056,,,,,1.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-02,,,4.444,,,,,,15.278,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-03,,,7.361,,,,,,18.472,,,,,5.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-04,,,7.778,,,,,,18.75,,,,,6.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-05,,,8.333,,,,,,17.5,,,15.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-07,,,14.444,,,18.611,,,18.333,,,9.722,18.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-08,,,12.778,,,18.889,,,19.444,,,7.5,19.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-09,,,10.833,,,,,,19.722,,,7.5,19.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-10,,,10.278,,,,,,18.889,,,11.944,18.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-11,,,14.444,,,,,,16.944,,,17.222,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-12,,,9.167,,,,,,15.556,,,16.944,8.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-14,,,10,,,,,,18.333,,,9.444,18.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-15,,,11.111,,,,,,18.611,,,8.056,19.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-16,,,10.139,,,,,,15.556,,,16.111,10.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-17,,,11.389,,,18.472,,,19.722,,,21.944,10.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-18,,,11.667,,,,,,20.556,,,21.667,9.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-19,,,12.778,,,,,,22.5,,,22.778,9.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-21,,,15.833,,,,,,15.833,,,15.833,13.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-22,,,13.333,,,,,,17.222,,,10.556,17.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-23,,,11.111,,,,,,14.167,,,14.167,12.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
